code,name,return_code,notes
CE-30101-5,SCE_REGMGR_ERROR_ERREAPDATA,0X800D0005,
CE-30102-6,SCE_REGMGR_ERROR_MGR_BROKEN_MAX,0X800D00FF,
CE-30103-7,SCE_REGMGR_ERROR_MGR_UPDATE_MIN,0X800D0100,
CE-30104-8,SCE_REGMGR_ERROR_NOINITDB,0X800D0101,
CE-30105-9,SCE_REGMGR_ERROR_NODATA,0X800D0102,
CE-30106-0,SCE_REGMGR_ERROR_FORMAT,0X800D0103,
CE-30107-1,SCE_REGMGR_ERROR_OVERCNT,0X800D0104,
CE-30108-2,SCE_REGMGR_ERROR_REGIDERR,0X800D0105,
CE-30109-3,SCE_REGMGR_ERROR_MACNERR,0X800D0106,
CE-30110-5,SCE_REGMGR_ERROR_TYPEERR,0X800D0107,
CE-30111-6,SCE_REGMGR_ERROR_SIZEERR,0X800D0108,
CE-30112-7,SCE_REGMGR_ERROR_CACHEFLAG,0X800D0109,
CE-30113-8,SCE_REGMGR_ERROR_LEVELERR,0X800D010A,
CE-30114-9,SCE_REGMGR_ERROR_DBPOS,0X800D010B,
CE-30115-0,SCE_REGMGR_ERROR_EAPWRITE,0X800D010C,
CE-30116-1,SCE_REGMGR_ERROR_BKUPLEVEL,0X800D010D,
CE-30117-2,SCE_REGMGR_ERROR_GPSGERR,0X800D010E,
CE-30118-3,SCE_REGMGR_ERROR_NPSGERR,0X800D010F,
CE-30119-4,SCE_REGMGR_ERROR_HOSTERR,0X800D0110,
CE-30120-6,SCE_REGMGR_ERROR_HOWTOERR,0X800D0111,
CE-30121-7,SCE_REGMGR_ERROR_NUMCATERR,0X800D0112,
CE-30122-8,SCE_REGMGR_ERROR_VALUEERR,0X800D0113,
CE-30123-9,SCE_REGMGR_ERROR_PRODUCTCODE,0X800D0114,
CE-30124-0,SCE_REGMGR_ERROR_SPSGERR,0X800D0115,
CE-30125-1,SCE_REGMGR_ERROR_MGR_UPDATE_MAX,0X800D01FF,
CE-30126-2,SCE_REGMGR_ERROR_MGR_PRGBUG_MIN,0X800D0200,
CE-30127-3,SCE_REGMGR_ERROR_UNINITIALIZED,0X800D0201,
CE-30128-4,SCE_REGMGR_ERROR_PARAM,0X800D0202,
CE-30129-5,SCE_REGMGR_ERROR_PRM_REGID,0X800D0203,
CE-30130-7,SCE_REGMGR_ERROR_PRM_HASH,0X800D0204,
CE-30131-8,SCE_REGMGR_ERROR_PRM_PROPRG,0X800D0205,
CE-30132-9,SCE_REGMGR_ERROR_PRM_REGID_NUM,0X800D0206,
CE-30133-0,SCE_REGMGR_ERROR_PRM_TYPE,0X800D0207,
CE-30134-1,SCE_REGMGR_ERROR_PRM_SIZE,0X800D0208,
CE-30135-2,SCE_REGMGR_ERROR_PRM_INITLEVEL,0X800D0209,
CE-30136-3,SCE_REGMGR_ERROR_PRM_BKUPLEVEL,0X800D020A,
CE-30137-4,SCE_REGMGR_ERROR_PRM_PATH,0X800D020B,
CE-30138-5,SCE_REGMGR_ERROR_PRM_CANTRESET,0X800D020C,
CE-30139-6,SCE_REGMGR_ERROR_PRM_ERRORCODE,0X800D020D,
CE-30140-8,SCE_REGMGR_ERROR_NOTHING,0X800D020E,
CE-30141-9,SCE_REGMGR_ERROR_COPYIN,0X800D020F,
CE-30142-0,SCE_REGMGR_ERROR_COPYOUT,0X800D0210,
CE-30143-1,SCE_REGMGR_ERROR_NOMEMORY,0X800D0211,
CE-30144-2,SCE_REGMGR_ERROR_CACHEAREA,0X800D0212,
CE-30145-3,SCE_REGMGR_ERROR_HANDLER_REGIST,0X800D0213,
CE-30146-4,SCE_REGMGR_ERROR_PRM_PROC_GAME_LIB,0X800D0214,
CE-30147-5,SCE_REGMGR_ERROR_PRM_PROC_GAME_SDK,0X800D0215,
CE-30148-6,SCE_REGMGR_ERROR_PRM_PROC_NGAME_LIB,0X800D0216,
CE-30149-7,SCE_REGMGR_ERROR_PRM_PROC_NGAME_SDK,0X800D0217,
CE-30150-9,SCE_REGMGR_ERROR_PRM_PROC_HOST,0X800D0218,
CE-30151-0,SCE_REGMGR_ERROR_NOTSUPPORTED,0X800D0219,
CE-30152-1,SCE_REGMGR_ERROR_MTX_SLEEP,0X800D021A,
CE-30153-2,SCE_REGMGR_ERROR_IO_READ,0X800D021B,
CE-30154-3,SCE_REGMGR_ERROR_IO_SEEK,0X800D021C,
CE-30155-4,SCE_REGMGR_ERROR_IO_WRITE,0X800D021D,
CE-30156-5,SCE_REGMGR_ERROR_PRM_PROC_DISCPLAYER,0X800D021E,
CE-30157-6,SCE_REGMGR_ERROR_MGR_PRGBUG_MAX,0X800D03FF,
CE-30158-7,SCE_REGMGR_ERROR_DRV_BROKEN_MIN,0X800D0400,
CE-30159-8,SCE_REGMGR_ERROR_DRV_CONTDATA,0X800D0401,
CE-30160-0,SCE_REGMGR_ERROR_DRV_DATAFILE,0X800D0402,
CE-30161-1,SCE_REGMGR_ERROR_DRV_IO_BASE,0X800D0480,
CE-30162-2,SCE_REGMGR_ERROR_DRV_IO_BUG_WHENCE,0X800D0481,
CE-30163-3,SCE_REGMGR_ERROR_DRV_IO_BUG_SIZE,0X800D0482,
CE-30164-4,SCE_REGMGR_ERROR_DRV_IO_BUG_NOMEM,0X800D0483,
CE-30165-5,SCE_REGMGR_ERROR_DRV_IO_BUG_NOINIT,0X800D0484,
CE-30166-6,SCE_REGMGR_ERROR_DRV_IO_BUG_TOOBIG,0X800D0485,
CE-30167-7,SCE_REGMGR_ERROR_DRV_BROKEN_MAX,0X800D04FF,
CE-30168-8,SCE_REGMGR_ERROR_DRV_UPDATE_MIN,0X800D0500,
CE-30169-9,SCE_REGMGR_ERROR_DRV_UPDATE_MAX,0X800D05FF,
CE-30170-1,SCE_REGMGR_ERROR_DRV_PRGBUG_MIN,0X800D0600,
CE-30171-2,SCE_REGMGR_ERROR_DRV_REINIT,0X800D0601,
CE-30172-3,SCE_REGMGR_ERROR_DRV_FILENAME,0X800D0602,
CE-30173-4,SCE_REGMGR_ERROR_DRV_NOINIT,0X800D0603,
CE-30174-5,SCE_REGMGR_ERROR_DRV_OVERCNT,0X800D0604,
CE-30175-6,SCE_REGMGR_ERROR_DRV_UNIQUEID,0X800D0605,
CE-30176-7,SCE_REGMGR_ERROR_DRV_DATASIZE,0X800D0606,
CE-30177-8,SCE_REGMGR_ERROR_DRV_DATATYPE,0X800D0607,
CE-30178-9,SCE_REGMGR_ERROR_DRV_FILEPOS,0X800D0608,
CE-30179-0,SCE_REGMGR_ERROR_DRV_FORMAT,0X800D0609,
CE-30180-2,SCE_REGMGR_ERROR_DRV_PRGBUG_MAX,0X800D06FF,
CE-30182-4,SCE_SBL_ERROR_COMMON_EPERM,0X800F0001,
CE-30183-5,SCE_SBL_ERROR_COMMON_ENOENT,0X800F0002,
CE-30184-6,SCE_SBL_ERROR_COMMON_ESRCH,0X800F0003,
CE-30185-7,SCE_SBL_ERROR_COMMON_EINTR,0X800F0004,
CE-30186-8,SCE_SBL_ERROR_COMMON_EIO,0X800F0005,
CE-30187-9,SCE_SBL_ERROR_COMMON_ENOEXEC,0X800F0008,
CE-30188-0,SCE_SBL_ERROR_COMMON_EAGAIN,0X800F000B,
CE-30189-1,SCE_SBL_ERROR_COMMON_ENOMEM,0X800F000C,
CE-30190-3,SCE_SBL_ERROR_COMMON_EACCES,0X800F000D,
CE-30191-4,SCE_SBL_ERROR_COMMON_EFAULT,0X800F000E,
CE-30192-5,SCE_SBL_ERROR_COMMON_EBUSY,0X800F0010,
CE-30193-6,SCE_SBL_ERROR_COMMON_EEXIST,0X800F0011,
CE-30194-7,SCE_SBL_ERROR_COMMON_ENODEV,0X800F0013,
CE-30195-8,SCE_SBL_ERROR_COMMON_EINVAL,0X800F0016,
CE-30196-9,SCE_SBL_ERROR_COMMON_ENOSPC,0X800F001C,
CE-30197-0,SCE_SBL_ERROR_COMMON_ERANGE,0X800F0022,
CE-30198-1,SCE_SBL_ERROR_COMMON_EFMT,0X800F0023,
CE-30199-2,SCE_SBL_ERROR_COMMON_ESIGN,0X800F0024,
CE-30200-5,SCE_SBL_ERROR_COMMON_ENOTSUP,0X800F0025,
CE-30201-6,SCE_SBL_ERROR_COMMON_EDATA,0X800F0026,
CE-30202-7,SCE_SBL_ERROR_COMMON_ETIMEDOUT,0X800F0027,
CE-30203-8,SCE_SBL_ERROR_COMMON_ESTAT,0X800F0028,
CE-30204-9,SCE_SBL_ERROR_COMMON_ESTACK,0X800F0029,
CE-30205-0,SCE_SBL_ERROR_COMMON_ENEEDAUTH,0X800F002A,
CE-30206-1,SCE_SBL_ERROR_COMMON_EBADMSG,0X800F002B,
CE-30207-2,SCE_SBL_ERROR_COMMON_EREVOKED,0X800F002C,
CE-30208-3,SCE_SBL_ERROR_COMMON_ENOATTR,0X800F002D,
CE-30209-4,SCE_SBL_ERROR_COMMON_EVER,0X800F002E,
CE-30210-6,SCE_SBL_ERROR_COMMON_EPLATFORM,0X800F002F,
CE-30211-7,SCE_SBL_ERROR_COMMON_EPOWER,0X800F0030,
CE-30212-8,SCE_SBL_ERROR_COMMON_ECLOCK,0X800F0031,
CE-30213-9,SCE_SBL_ERROR_COMMON_ENOTINITIALIZED,0X800F0032,
CE-30214-0,SCE_SBL_ERROR_COMMON_EXPIRED,0X800F0033,
CE-30215-1,SCE_SBL_ERROR_COMMON_EFORMAT,0X800F0034,
CE-30216-2,SCE_SBL_ERROR_COMMON_EAUTHFAIL,0X800F0035,
CE-30217-3,SCE_SBL_ERROR_COMMON_KEY_DIFFER,0X800F0036,
CE-30218-4,SCE_SBL_ERROR_SK_EPERM,0X800F0101,
